x-axis,1,2,3
second,Volt,Volt,Volt
-137.700E-03,+881.250E-03,+812.500E-03,+912.000E-03
-137.600E-03,+943.750E-03,+843.750E-03,+943.250E-03
-137.500E-03,+975.000E-03,+875.000E-03,+974.500E-03
-137.400E-03,+1.006250E+00,+906.250E-03,+1.005750E+00
-137.300E-03,+1.068750E+00,+968.750E-03,+1.068250E+00
-137.200E-03,+1.131250E+00,+1.000000E+00,+1.130750E+00
-137.100E-03,+1.162500E+00,+1.062500E+00,+1.193250E+00
-137.000E-03,+1.225000E+00,+1.125000E+00,+1.224500E+00
-136.900E-03,+1.225000E+00,+1.156250E+00,+1.224500E+00
-136.800E-03,+1.318750E+00,+1.187500E+00,+1.318250E+00
-136.700E-03,+1.381250E+00,+1.250000E+00,+1.349500E+00
-136.600E-03,+1.443750E+00,+1.312500E+00,+1.412000E+00
-136.500E-03,+1.475000E+00,+1.343750E+00,+1.505750E+00
-136.400E-03,+1.537500E+00,+1.437500E+00,+1.537000E+00
-136.300E-03,+1.600000E+00,+1.500000E+00,+1.599500E+00
-136.200E-03,+1.631250E+00,+1.531250E+00,+1.662000E+00
-136.100E-03,+1.725000E+00,+1.593750E+00,+1.724500E+00
-136.000E-03,+1.756250E+00,+1.625000E+00,+1.755750E+00
-135.900E-03,+1.787500E+00,+1.718750E+00,+1.818250E+00
-135.800E-03,+1.881250E+00,+1.718750E+00,+1.849500E+00
-135.700E-03,+1.912500E+00,+1.812500E+00,+1.943250E+00
-135.600E-03,+1.975000E+00,+1.906250E+00,+2.005750E+00
-135.500E-03,+2.006250E+00,+1.937500E+00,+2.005750E+00
-135.400E-03,+2.037500E+00,+1.968750E+00,+2.099500E+00
-135.300E-03,+2.068750E+00,+2.000000E+00,+2.130750E+00
-135.200E-03,+2.131250E+00,+2.093750E+00,+2.193250E+00
-135.100E-03,+2.162500E+00,+2.093750E+00,+2.193250E+00
-135.000E-03,+2.225000E+00,+2.156250E+00,+2.255750E+00
-134.900E-03,+2.225000E+00,+2.218750E+00,+2.287000E+00
-134.800E-03,+2.225000E+00,+2.250000E+00,+2.318250E+00
-134.700E-03,+2.287500E+00,+2.218750E+00,+2.380750E+00
-134.600E-03,+2.287500E+00,+2.312500E+00,+2.349500E+00
-134.500E-03,+2.350000E+00,+2.312500E+00,+2.349500E+00
-134.400E-03,+2.318750E+00,+2.343750E+00,+2.412000E+00
-134.300E-03,+2.318750E+00,+2.375000E+00,+2.380750E+00
-134.200E-03,+2.318750E+00,+2.375000E+00,+2.412000E+00
-134.100E-03,+2.318750E+00,+2.406250E+00,+2.412000E+00
-134.000E-03,+2.287500E+00,+2.406250E+00,+2.443250E+00
-133.900E-03,+2.287500E+00,+2.375000E+00,+2.380750E+00
-133.800E-03,+2.287500E+00,+2.375000E+00,+2.349500E+00
-133.700E-03,+2.225000E+00,+2.343750E+00,+2.349500E+00
-133.600E-03,+2.193750E+00,+2.343750E+00,+2.349500E+00
-133.500E-03,+2.162500E+00,+2.343750E+00,+2.349500E+00
-133.400E-03,+2.162500E+00,+2.312500E+00,+2.287000E+00
-133.300E-03,+2.100000E+00,+2.281250E+00,+2.193250E+00
-133.200E-03,+2.068750E+00,+2.250000E+00,+2.162000E+00
-133.100E-03,+2.006250E+00,+2.218750E+00,+2.099500E+00
-133.000E-03,+1.975000E+00,+2.125000E+00,+2.099500E+00
-132.900E-03,+1.912500E+00,+2.093750E+00,+2.037000E+00
-132.800E-03,+1.818750E+00,+2.000000E+00,+2.005750E+00
-132.700E-03,+1.725000E+00,+1.968750E+00,+1.880750E+00
-132.600E-03,+1.662500E+00,+1.906250E+00,+1.818250E+00
-132.500E-03,+1.662500E+00,+1.843750E+00,+1.755750E+00
-132.400E-03,+1.537500E+00,+1.781250E+00,+1.662000E+00
